day:0, area_number:0, roomID:0, stock:6, suf_rate:0.6
day:0, area_number:0, roomID:1, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:2, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:3, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:4, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:5, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:6, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:7, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:8, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:9, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:10, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:11, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:12, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:13, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:14, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:15, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:16, stock:10, suf_rate:1.0
day:0, area_number:0, roomID:17, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:18, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:19, stock:6, suf_rate:0.6
day:0, area_number:0, roomID:0, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:1, stock:9, suf_rate:0.9
day:0, area_number:0, roomID:2, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:3, stock:10, suf_rate:1.0
day:0, area_number:0, roomID:4, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:5, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:6, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:7, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:8, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:9, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:10, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:11, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:12, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:13, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:14, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:15, stock:8, suf_rate:0.8
day:0, area_number:0, roomID:16, stock:10, suf_rate:1.0
day:0, area_number:0, roomID:17, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:18, stock:7, suf_rate:0.7
day:0, area_number:0, roomID:19, stock:9, suf_rate:0.9
day:1, area_number:1, roomID:20, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:21, stock:8, suf_rate:0.8
day:1, area_number:1, roomID:22, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:23, stock:4, suf_rate:0.4
day:1, area_number:1, roomID:24, stock:4, suf_rate:0.4
day:1, area_number:1, roomID:25, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:26, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:27, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:28, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:29, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:30, stock:4, suf_rate:0.4
day:1, area_number:1, roomID:31, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:32, stock:8, suf_rate:0.8
day:1, area_number:1, roomID:33, stock:10, suf_rate:1.0
day:1, area_number:1, roomID:34, stock:8, suf_rate:0.8
day:1, area_number:1, roomID:35, stock:8, suf_rate:0.8
day:1, area_number:1, roomID:36, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:37, stock:9, suf_rate:0.9
day:1, area_number:1, roomID:38, stock:9, suf_rate:0.9
day:1, area_number:1, roomID:39, stock:9, suf_rate:0.9
day:1, area_number:1, roomID:20, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:21, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:22, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:23, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:24, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:25, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:26, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:27, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:28, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:29, stock:8, suf_rate:0.8
day:1, area_number:1, roomID:30, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:31, stock:3, suf_rate:0.3
day:1, area_number:1, roomID:32, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:33, stock:6, suf_rate:0.6
day:1, area_number:1, roomID:34, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:35, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:36, stock:7, suf_rate:0.7
day:1, area_number:1, roomID:37, stock:8, suf_rate:0.8
day:1, area_number:1, roomID:38, stock:5, suf_rate:0.5
day:1, area_number:1, roomID:39, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:40, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:41, stock:3, suf_rate:0.3
day:2, area_number:2, roomID:42, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:43, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:44, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:45, stock:3, suf_rate:0.3
day:2, area_number:2, roomID:46, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:47, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:48, stock:3, suf_rate:0.3
day:2, area_number:2, roomID:49, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:50, stock:5, suf_rate:0.5
day:2, area_number:2, roomID:51, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:52, stock:1, suf_rate:0.1
day:2, area_number:2, roomID:53, stock:5, suf_rate:0.5
day:2, area_number:2, roomID:54, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:55, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:56, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:57, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:58, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:59, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:40, stock:3, suf_rate:0.3
day:2, area_number:2, roomID:41, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:42, stock:5, suf_rate:0.5
day:2, area_number:2, roomID:43, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:44, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:45, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:46, stock:1, suf_rate:0.1
day:2, area_number:2, roomID:47, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:48, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:49, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:50, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:51, stock:7, suf_rate:0.7
day:2, area_number:2, roomID:52, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:53, stock:6, suf_rate:0.6
day:2, area_number:2, roomID:54, stock:5, suf_rate:0.5
day:2, area_number:2, roomID:55, stock:2, suf_rate:0.2
day:2, area_number:2, roomID:56, stock:4, suf_rate:0.4
day:2, area_number:2, roomID:57, stock:8, suf_rate:0.8
day:2, area_number:2, roomID:58, stock:3, suf_rate:0.3
day:2, area_number:2, roomID:59, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:60, stock:3, suf_rate:0.3
day:3, area_number:3, roomID:61, stock:6, suf_rate:0.6
day:3, area_number:3, roomID:62, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:63, stock:5, suf_rate:0.5
day:3, area_number:3, roomID:64, stock:4, suf_rate:0.4
day:3, area_number:3, roomID:65, stock:1, suf_rate:0.1
day:3, area_number:3, roomID:66, stock:5, suf_rate:0.5
day:3, area_number:3, roomID:67, stock:2, suf_rate:0.2
day:3, area_number:3, roomID:68, stock:2, suf_rate:0.2
day:3, area_number:3, roomID:69, stock:3, suf_rate:0.3
