Day:0, Area:0, RoomID:0, Stock:10
Day:0, Area:0, RoomID:1, Stock:10
Day:0, Area:0, RoomID:2, Stock:10
Day:0, Area:0, RoomID:3, Stock:10
Day:0, Area:0, RoomID:4, Stock:10
Day:0, Area:0, RoomID:5, Stock:10
Day:0, Area:0, RoomID:6, Stock:10
Day:0, Area:0, RoomID:7, Stock:10
Day:0, Area:0, RoomID:8, Stock:10
Day:0, Area:0, RoomID:9, Stock:10
Day:0, Area:0, RoomID:10, Stock:10
Day:0, Area:0, RoomID:11, Stock:10
Day:0, Area:0, RoomID:12, Stock:10
Day:0, Area:0, RoomID:13, Stock:10
Day:0, Area:0, RoomID:14, Stock:10
Day:0, Area:0, RoomID:15, Stock:10
Day:0, Area:0, RoomID:16, Stock:10
Day:0, Area:0, RoomID:17, Stock:10
Day:0, Area:0, RoomID:18, Stock:10
Day:0, Area:0, RoomID:19, Stock:10

Day:1, Area:1, RoomID:20, Stock:5
Day:1, Area:1, RoomID:21, Stock:8
Day:1, Area:1, RoomID:22, Stock:7
Day:1, Area:1, RoomID:23, Stock:7
Day:1, Area:1, RoomID:24, Stock:7
Day:1, Area:1, RoomID:25, Stock:10
Day:1, Area:1, RoomID:26, Stock:6
Day:1, Area:1, RoomID:27, Stock:0
Day:1, Area:1, RoomID:28, Stock:2
Day:1, Area:1, RoomID:29, Stock:9
Day:1, Area:1, RoomID:30, Stock:6
Day:1, Area:1, RoomID:31, Stock:9
Day:1, Area:1, RoomID:32, Stock:3
Day:1, Area:1, RoomID:33, Stock:7
Day:1, Area:1, RoomID:34, Stock:7
Day:1, Area:1, RoomID:35, Stock:9
Day:1, Area:1, RoomID:36, Stock:6
Day:1, Area:1, RoomID:37, Stock:1
Day:1, Area:1, RoomID:38, Stock:4
Day:1, Area:1, RoomID:39, Stock:6

Day:2, Area:2, RoomID:40, Stock:0
Day:2, Area:2, RoomID:41, Stock:5
Day:2, Area:2, RoomID:42, Stock:0
Day:2, Area:2, RoomID:43, Stock:5
Day:2, Area:2, RoomID:44, Stock:5
Day:2, Area:2, RoomID:45, Stock:2
Day:2, Area:2, RoomID:46, Stock:6
Day:2, Area:2, RoomID:47, Stock:2
Day:2, Area:2, RoomID:48, Stock:1
Day:2, Area:2, RoomID:49, Stock:1
Day:2, Area:2, RoomID:50, Stock:9
Day:2, Area:2, RoomID:51, Stock:6
Day:2, Area:2, RoomID:52, Stock:6
Day:2, Area:2, RoomID:53, Stock:0
Day:2, Area:2, RoomID:54, Stock:5
Day:2, Area:2, RoomID:55, Stock:5
Day:2, Area:2, RoomID:56, Stock:4
Day:2, Area:2, RoomID:57, Stock:9
Day:2, Area:2, RoomID:58, Stock:0
Day:2, Area:2, RoomID:59, Stock:5

Day:3, Area:3, RoomID:60, Stock:0
Day:3, Area:3, RoomID:61, Stock:3
Day:3, Area:3, RoomID:62, Stock:2
Day:3, Area:3, RoomID:63, Stock:0
Day:3, Area:3, RoomID:64, Stock:3
Day:3, Area:3, RoomID:65, Stock:0
Day:3, Area:3, RoomID:66, Stock:0
Day:3, Area:3, RoomID:67, Stock:1
Day:3, Area:3, RoomID:68, Stock:4
Day:3, Area:3, RoomID:69, Stock:2
Day:3, Area:3, RoomID:70, Stock:5
Day:3, Area:3, RoomID:71, Stock:0
Day:3, Area:3, RoomID:72, Stock:0
Day:3, Area:3, RoomID:73, Stock:5
Day:3, Area:3, RoomID:74, Stock:4
Day:3, Area:3, RoomID:75, Stock:0
Day:3, Area:3, RoomID:76, Stock:0
Day:3, Area:3, RoomID:77, Stock:0
Day:3, Area:3, RoomID:78, Stock:0
Day:3, Area:3, RoomID:79, Stock:0

Day:4, Area:4, RoomID:80, Stock:7
Day:4, Area:4, RoomID:81, Stock:2
Day:4, Area:4, RoomID:82, Stock:4
Day:4, Area:4, RoomID:83, Stock:6
Day:4, Area:4, RoomID:84, Stock:0
Day:4, Area:4, RoomID:85, Stock:0
Day:4, Area:4, RoomID:86, Stock:0
Day:4, Area:4, RoomID:87, Stock:0
Day:4, Area:4, RoomID:88, Stock:0
Day:4, Area:4, RoomID:89, Stock:3
Day:4, Area:4, RoomID:90, Stock:0
Day:4, Area:4, RoomID:91, Stock:0
Day:4, Area:4, RoomID:92, Stock:5
Day:4, Area:4, RoomID:93, Stock:0
Day:4, Area:4, RoomID:94, Stock:0
Day:4, Area:4, RoomID:95, Stock:0
Day:4, Area:4, RoomID:96, Stock:0
Day:4, Area:4, RoomID:97, Stock:5
Day:4, Area:4, RoomID:98, Stock:0
Day:4, Area:4, RoomID:99, Stock:6

Day:5, Area:0, RoomID:0, Stock:1
Day:5, Area:0, RoomID:1, Stock:2
Day:5, Area:0, RoomID:2, Stock:0
Day:5, Area:0, RoomID:3, Stock:0
Day:5, Area:0, RoomID:4, Stock:6
Day:5, Area:0, RoomID:5, Stock:0
Day:5, Area:0, RoomID:6, Stock:0
Day:5, Area:0, RoomID:7, Stock:0
Day:5, Area:0, RoomID:8, Stock:3
Day:5, Area:0, RoomID:9, Stock:5
Day:5, Area:0, RoomID:10, Stock:4
Day:5, Area:0, RoomID:11, Stock:2
Day:5, Area:0, RoomID:12, Stock:5
Day:5, Area:0, RoomID:13, Stock:0
Day:5, Area:0, RoomID:14, Stock:0
Day:5, Area:0, RoomID:15, Stock:2
Day:5, Area:0, RoomID:16, Stock:2
Day:5, Area:0, RoomID:17, Stock:4
Day:5, Area:0, RoomID:18, Stock:0
Day:5, Area:0, RoomID:19, Stock:0

Day:6, Area:1, RoomID:20, Stock:0
Day:6, Area:1, RoomID:21, Stock:0
Day:6, Area:1, RoomID:22, Stock:0
Day:6, Area:1, RoomID:23, Stock:0
Day:6, Area:1, RoomID:24, Stock:1
Day:6, Area:1, RoomID:25, Stock:4
Day:6, Area:1, RoomID:26, Stock:2
Day:6, Area:1, RoomID:27, Stock:0
Day:6, Area:1, RoomID:28, Stock:0
Day:6, Area:1, RoomID:29, Stock:0
Day:6, Area:1, RoomID:30, Stock:0
Day:6, Area:1, RoomID:31, Stock:0
Day:6, Area:1, RoomID:32, Stock:0
Day:6, Area:1, RoomID:33, Stock:0
Day:6, Area:1, RoomID:34, Stock:4
Day:6, Area:1, RoomID:35, Stock:0
