day%0,current,roomID,value,count
10,0,4,5.0,49
11,1,92,0.17391304347826086,54
12,2,50,5.0,55
13,3,13,0.4,60
14,4,41,0.7142857142857143,59
15,0,29,0.2857142857142857,56
16,1,21,20.0,52
17,2,55,10.0,57
18,3,67,3.1666666666666665,49
19,4,13,0.36363636363636365,54
20,0,6,20.0,51
21,1,28,20.0,57
22,2,97,0.3333333333333333,58
23,3,4,0.3076923076923077,55
24,4,98,5.0,51
25,0,99,0.13333333333333333,53
26,1,99,0.2692307692307692,52
27,2,40,4.333333333333333,53
28,3,1,0.35294117647058826,52
29,4,22,0.21052631578947367,54
30,0,11,5.0,61
31,1,23,5.0,59
32,2,64,0.2222222222222222,49
33,3,6,0.4117647058823529,57
34,4,99,0.6,55
35,0,2,14.0,55
36,1,48,0.23529411764705882,49
37,2,47,10.0,55
38,3,26,0.2222222222222222,57
39,4,8,0.23076923076923078,57
40,0,32,0.7142857142857143,56
41,1,20,2.5,58
42,2,80,0.058823529411764705,59
43,3,82,0.3333333333333333,54
44,4,27,0.16666666666666666,52
45,0,96,0.36363636363636365,47
46,1,96,0.9,49
47,2,1,0.047619047619047616,56
48,3,63,4.333333333333333,48
49,4,53,0.8333333333333334,53
50,0,96,0.36363636363636365,52
51,1,98,0.047619047619047616,55
52,2,1,0.047619047619047616,54
53,3,68,4.5,53
54,4,8,0.15384615384615385,58
55,0,1,12.0,56
56,1,45,0.2222222222222222,53
57,2,57,2.5,52
58,3,98,0.2857142857142857,54
59,4,11,0.16666666666666666,54
6,1,72,0.3125,56
60,0,33,0.2857142857142857,60
61,1,99,0.2692307692307692,55
62,2,99,0.2222222222222222,50
63,3,99,0.16666666666666666,52
64,4,87,3.3333333333333335,54
65,0,5,1.3333333333333333,51
66,1,23,5.0,53
67,2,13,0.14285714285714285,53
68,3,5,0.1,53
69,4,2,0.4,53
7,2,97,0.2222222222222222,51
70,0,48,0.15384615384615385,50
71,1,44,0.16666666666666666,48
72,2,97,0.4444444444444444,47
73,3,93,0.2,55
74,4,95,6.5,50
75,0,75,0.13333333333333333,52
76,1,97,0.11538461538461539,52
77,2,56,3.5,51
78,3,5,0.15,54
79,4,1,0.2,53
8,3,97,0.16666666666666666,52
80,0,77,0.5294117647058824,49
81,1,44,0.3333333333333333,50
82,2,1,0.23809523809523808,51
83,3,96,0.6666666666666666,50
84,4,98,5.0,52
85,0,2,20.0,53
86,1,96,0.1,51
87,2,66,0.3333333333333333,50
88,3,5,0.05,56
89,4,2,0.4,55
9,4,96,20.0,53
90,0,18,6.666666666666667,48
91,1,97,0.07692307692307693,48
92,2,58,1.25,52
93,3,14,1.0,50
94,4,98,3.25,56
95,0,28,0.36363636363636365,55
96,1,46,0.2857142857142857,49
97,2,98,0.3076923076923077,53
98,3,98,0.2857142857142857,56
99,4,98,4.5,52
